Degree,Field,SubField,COLLEGE,DURATION,COLLEGE FEE,NIRF AND OTHER RANK(2022),MIN MARKS FOR ELIGIBILITY,QUALIFIED DEGREE,Deadline ,ENTRANCE NAME AND DURATION,EXAM DETAILS,TEST DATE,APPLICATION PROCESS,APPLICATION FEE,SELECTION PROCESS,INTAKE,LINK,Scholarships/Fellowships,Unnamed: 19
Masters,Mathematics,Mathematics,"Womens Christian College (WCC), Chennai",2 YEARS,₹127060,"College  #72, Science(INDIA TODAY) #16, Science(OUTLOOK) #18",,Candidate must have B.Sc. Mathematics/ B.Sc. Applied Science,,,,,,,,,https://wcc.edu.in/admissions/,,
Masters,Life Science,Biotechnology,Womens Christian College (WCC),2 YEARS,INR 209728,"OVERALL #72, Science(INDIA TODAY) #16",,"B.Sc. in , Zoology, Botany, Biotechnology, Microbiology, Genetics, Biochemistry, Physics, Agriculture, B.E. Biotech, B.Tech.(Biotechnology), B.V.Sc., B.D.S, M.B.B.S",,,,,,,,,https://wcc.edu.in/admissions/,,
Masters,Physics,Physics,WCC Chennai,2 Years,INR 130528,"Overall(top college) #72, Science(INDIA TODAY) #16, Science(OUTLOOK) #18",,B.Sc. Physics as main with Mathematics as one of the ancillaries (or) B.Sc. Applied Science from a recognized university/ institution.,,,,,"Visit the official website of ‘Women’s Christian College, Chennai’., Click on ‘Admissions’ and then on ‘Online Application’., Click on ‘Online Registration’., Enter all the details correctly in the Registration form, Pay application fee",INR 300,,,https://wcc.edu.in/,,
Masters,Life Science,Biotechnology,VIT Vellore,2 YEARS,INR 220000,"UNIVERSITY #9, RESEARCH #10, OVERALL #18","GEN MIN 60%, SC/ST/J&K/NORTH EAST: 50%","B.Sc/BACHELOR.degree , Botany, Medicine, Agricultural Science, Home Science, Nutrition, Biotechnology, Biochemistry, Microbiology, Zoology",,MERIT BASED (BACHELOR DEGREE MARKS),,,"FILL ONLINE FORM ON , https://vit.ac.in/all-courses/pg",,candidates short-listed based on their merit will be called for the admission,,https://vit.ac.in/all-courses/pg/m.sc.programmes,,
Masters,Life Science,Applied Microbiology,VIT Vellore,2 years,INR 1.60 Lakh(tuition)+2.19 Lakh (hostel),"UNIVERSITY #9, RESEARCH #10, OVERALL #18",0.6,"B.Sc/BACHELOR.degree , Botany, Medicine, Agricultural Science, Home Science, Nutrition, Biotechnology, Biochemistry, Microbiology, Zoology, Applicants from Correspondence / Open University mode are not eligible",,,,,,,Merit-based,,https://vit.ac.in/all-courses/pg/m.sc.programmes,,
Masters,Chemistry,Chemistry,VIT Vellore,2 Years,₹ 1.20 L,"UNIVERSITY #9, RESEARCH #10, OVERALL #18",60%of marks,B.Sc.degree in either Chemistry or Applied Chemistry or Applied Science from any recognized university with Physics or Mathematics / B.Pharm (or) Biology/ Botany/Zoology as ancillary subjects,,,,,"Fill the application form online., Candidates will be shortlisted on the basis of their merit in B.Sc., Once shortlisted, the candidate will be called for counselling.",,Merit-based,,https://vit.ac.in/all-courses/pg/m.sc.programmes,,
Masters,Statistics,Business Statistics,VIT Vellore,2 YEARS,₹162000,"UNIVERSITY #9, RESEARCH #10, OVERALL #18",60% marks,"graduation in Mathematics/Statistics/Computer Science/Business/Commerce/ Economics/Engineering, should have studied Mathematics as one of the subject in +2 and degree level",,,,,"FILL ONLINE FORM ON , https://vit.ac.in/all-courses/pg",,Merit,,https://vit.ac.in/all-courses/pg/m.sc.programmes,,
Masters,IT-ITeS,Computer Science,VIT Vellore,2 Years,3.80 L,"OVERALL #18, ENGINEERING #12",aggregate of 60% for under-graduate or First class for M.Tech. degree,"B.E/B.Tech. Degree in any branch, M.S / M.Sc. Computer Science or IT or Software Engineering, MCA or any other equivalent degree.",,"GATE, 3 Hours, , , , or VITMEE","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,,INR 1200,"VITMEE/GATE, COUNSELLING AND INTERVIEW FOR SHORTLISTED CANDIDATES",60.0,"https://vit.ac.in/all-courses/pg/m.tech-programmes, https://gate.iitk.ac.in/, https://admissions.vit.ac.in/mtechmcaapplication/?utm_source=V71TI5214&utm_campaign=vitmee2023",,
Masters,Mechanical Engineering,Applied Computational Fluid Dynamics,VIT Vellore,2 Years,,"OVERALL #18, ENGINEERING #12",aggregate of 60% for under-graduate or First class for M.Tech. degree,"B.E/B.Tech. Degree in any branch, M.S / M.Sc. Computer Science or IT or Software Engineering, MCA or any other equivalent degree.",,"GATE, 3 Hours, , , , or VITMEE","General Aptitude (GA), Candidate Selected Subject, 65 Questions (including 10 questions from General Aptitude), https://gate.iitk.ac.in/",,,INR 1200,"VITMEE/GATE, COUNSELLING AND INTERVIEW FOR SHORTLISTED CANDIDATES",30.0,"https://vit.ac.in/all-courses/pg/m.tech-programmes, https://gate.iitk.ac.in/, https://admissions.vit.ac.in/mtechmcaapplication/?utm_source=V71TI5214&utm_campaign=vitmee2023",,
Masters,Life Science,Biotechnology,Stella Maris College Chennai,2 YEARS,INR 30000,"Science(INDIA TODAY) #9, Science(OUTLOOK) #7, Science(THE WEEK) #8, TOP COLLEGE(NIRF)#76",,"Applicants from Correspondence / Open University mode are not eligible, degree as accepted by University of Madras, Biotechnology,, Microbiology, Botany, Plant Biology and Plant, Biotechnology, Zoology, Advanced Zoology, and Biotechnology, Chemistry, Physics,, Biochemistry, Agriculture, Biology",,,,,"http://reg1.stellamariscollege.edu.in/OnlineApp_Home.aspx#!, https://stellamariscollege.edu.in/assets/documents/Admission_Procedure.pdf",,on basis of marks scored in the entrance examination as well as interview round,,https://stellamariscollege.edu.in/,,
Masters,Physics,Physics,Stella Maris College Chennai,2 Years,INR 30000,"Overall(top college) #76, Science(INDIA TODAY) #9, Science(OUTLOOK) #7, Science(THE WEEK) #8",,B.Sc. degree in a relevant specialization,,ENTRANCE,,,"FILL FORM ONLINE, GIVE ENTRANCE  ",,"entrance examination,  interview ",,"https://stellamariscollege.edu.in/assets/documents/Admission_Procedure.pdf, https://stellamariscollege.edu.in/",,
Masters,Chemistry,Chemistry,Stella Maris College Chennai,2 Years,₹30000,"Science(INDIA TODAY) #9, Science(OUTLOOK) #7, Science(THE WEEK) #8, COLLEGE(NIRF)#76",,bachelor’s degree in the relevant discipline,,,,,"http://reg1.stellamariscollege.edu.in/OnlineApp_Home.aspx#!, https://stellamariscollege.edu.in/assets/documents/Admission_Procedure.pdf",,on basis of marks scored in the entrance examination as well as interview round,,https://stellamariscollege.edu.in/,,
Masters,Mathematics,Mathematics,Stella Maris College Chennai,2 YEARS,₹30000,"Science(INDIA TODAY) #9, Science(OUTLOOK) #7, Science(THE WEEK) #8, College #76",,bachelor’s degree in the relevant discipline,,,,,"http://reg1.stellamariscollege.edu.in/OnlineApp_Home.aspx#!, https://stellamariscollege.edu.in/assets/documents/Admission_Procedure.pdf",,on basis of marks scored in the entrance examination as well as interview round,,https://stellamariscollege.edu.in/,,
Masters,Life Science,Integrated Biotechnology,"St Xaviers College, Kolkata",2 YEARS,INR 168000,"COLLEGE #8, Science(THE WEEK) #7","GEN: minimum 55% marks in Honours , RESERVED: MIN 45%",B.Sc. in Computer Science or its equivalent,,entrance examination conducted by the college,https://www.sxccal.edu/,,"Register  https://www.sxccal.edu, Fill details , pay application fee",INR 500/-,"entrance examination, shortlist",,https://www.sxccal.edu/,,
Masters,Life Science,Biotechnology,"St Xaviers College, Ahmedabad",2 YEARS,INR 139500,"OVERALL #52, Science(INDIA TODAY) #30, Science(OUTLOOK) #22",TYBSc Examination with at least 50% aggregate,B.Sc. or equivalent,,entrance conducted,,,,,,,entrance,,
Masters,Life Science,Biotechnology,St Xaviers College Mumbai,2 YEARS,INR 136103,"COLLEGE #87, SCIENCE(INDIA TODAY) #24, SCIENCE(THE WEEK)#12",minimum of 50% marks,"BSc. Degree in , Biochemistry, Zoology, Microbiology, Life Science, Botany, Biotechnology, Biotechnology, Applied Biology",,XET,https://xaviers.ac/admissions/degree/post-graduate/msc/biotech,,"go to:, https://xaviers.ac/admissions/, register and fill form, upload documents and certificates, pay the application fee",,XET(70%) + MERIT(30%),30.0,https://xaviers.ac/admissions/degree/post-graduate/msc/biotech,,
Masters,Physics,Physics,St Xaviers College Mumbai,2 Years,INR 191500,"Overall #87, Science(INDIA TODAY) #24, Science(THE WEEK) #12",minimum of 50% marks,Bachelor’s degree in science with Physics as one of the major subjects,,,,,,,Merit-Based,,https://xaviers.ac/,,
Masters,Life Science,Microbiology,St Xaviers College Mumbai,2 years,INR 29729,"COLLEGE #87, SCIENCE(INDIA TODAY) #24, SCIENCE(THE WEEK)#12",minimum of 50% marks,,,XET,,,"go to:, https://xaviers.ac/admissions/, register and fill form, upload documents and certificates, pay the application fee",,XET(70%) + MERIT(30%),,"https://xaviers.ac/, https://xaviers.ac/admissions/degree/post-graduate/msc/microbiology",,
Masters,Physics,Physics,St Xaviers College Kolkata,2 Years,INR 168000,"College #8, Science(THE WEEK) #07","GEN: 55.%, RESERVED: 45%","bachelor’s degree in the relevant discipline, No candidate shall be eligible for admission after a lapse of more than five years from the year of passing the previous qualifying examination.",,entrance examination conducted by the college,,https://www.sxccal.edu/,"Visit the college official website and fill the admission application form., Attach all required documents, pay the requisite amount of fees, and submit the form., Take the printout of the application form and admit card (in case of admission test) for future reference",,"entrance examination, shortlist",,https://www.sxccal.edu/,,
Masters,Life Science,Microbiology,St Xaviers College (SXC) Kolkata,2 years,INR 168000,"COLLEGE #8, Science(THE WEEK) #7","GEN: minimum 55% marks in Honours , RESERVED: MIN 45%",B.Sc Major (Honours) in Microbiology or any other subject of Life sciences,,https://www.sxccal.edu/,,,"Register  https://www.sxccal.edu, Fill details , pay application fee",INR 500/-,"entrance examination, shortlist",,https://www.sxccal.edu/,,
Masters,Mathematics,Mathematics,St Stephen’s College,2 YEARS,,"Science(INDIA TODAY) #3, COLLEGE #11, Science(OUTLOOK) #4, Science(THE WEEK) #1","minimum 50% marks, 60%(for merit based)",bachelor’s degree in the relevant discipline,,CUET PG,,https://www.ststephens.edu/prospectus/PG-2022-23-Prospectus.pdf,"apply separately on the College’s PG portal and from DU portaland from DU portal, attend an interview in College for the discipline they have applied for",,"marks scored in Graduation(for DU graduates), ENTRANCE, Interview",,"https://www.ststephens.edu/prospectus/PG-2022-23-Prospectus.pdf, https://www.ststephens.edu/, https://cuet.nta.nic.in/",,
